date,sales
2024-01-01,232
2024-01-02,210
2024-01-03,286
2024-01-04,310
2024-01-05,271
2024-01-06,272
2024-01-07,275
2024-01-08,342
2024-01-09,286
2024-01-10,305
2024-01-11,280
2024-01-12,236
2024-01-13,288
2024-01-14,223
2024-01-15,347
2024-01-16,324
2024-01-17,315
2024-01-18,321
2024-01-19,288
2024-01-20,194
2024-01-21,246
2024-01-22,229
2024-01-23,224
2024-01-24,188
2024-01-25,275
2024-01-26,331
2024-01-27,328
2024-01-28,248
2024-01-29,337
2024-01-30,198
2024-01-31,319
2024-02-01,297
2024-02-02,187
2024-02-03,223
2024-02-04,218
2024-02-05,336
2024-02-06,218
2024-02-07,216
2024-02-08,223
2024-02-09,329
2024-02-10,186
2024-02-11,325
2024-02-12,280
2024-02-13,300
2024-02-14,223
2024-02-15,228
2024-02-16,303
2024-02-17,301
2024-02-18,347
2024-02-19,309
2024-02-20,292
2024-02-21,327
2024-02-22,196
2024-02-23,250
2024-02-24,249
2024-02-25,209
2024-02-26,187
2024-02-27,345
2024-02-28,198
2024-02-29,186
2024-03-01,239
2024-03-02,279
2024-03-03,257
2024-03-04,319
2024-03-05,335
2024-03-06,274
2024-03-07,182
2024-03-08,186
2024-03-09,211
2024-03-10,234
2024-03-11,198
2024-03-12,209
2024-03-13,197
2024-03-14,282
2024-03-15,298
2024-03-16,314
2024-03-17,253
2024-03-18,221
2024-03-19,322
2024-03-20,238
2024-03-21,230
2024-03-22,330
2024-03-23,301
2024-03-24,282
2024-03-25,211
2024-03-26,328
2024-03-27,331
2024-03-28,260
2024-03-29,343
2024-03-30,332
2024-03-31,247
2024-04-01,339
2024-04-02,274
2024-04-03,194
2024-04-04,320
2024-04-05,327
2024-04-06,251
2024-04-07,209
2024-04-08,243
2024-04-09,263
2024-04-10,324
2024-04-11,290
2024-04-12,208
2024-04-13,225
2024-04-14,305
2024-04-15,299
2024-04-16,232
2024-04-17,279
2024-04-18,292
2024-04-19,343
2024-04-20,326
2024-04-21,223
2024-04-22,203
2024-04-23,214
2024-04-24,242
2024-04-25,261
2024-04-26,340
2024-04-27,293
2024-04-28,292
2024-04-29,217
